experiment_id,source_md,report_section,comparison_group,baseline_id,changed_variable,changed_value,seed,vocab_size,context_length,emb_dim,n_heads,n_layers,ffn_mult,activation,drop_rate,norm_first,qkv_bias,weight_tying,stride,num_epochs,batch_size,lr,weight_decay,rerun_required,rerun_reason
E00,docs/HY/testresult/E00_baseline_result.md,5 epoch baseline,baseline_5ep,E00,baseline,baseline,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E01,docs/HY/testresult/E01_context_length_64_result.md,context_length,context_length,E00,context_length,64,123,3000,64,192,4,4,4,,0.1,,False,False,64,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,context_length,context_length,E00,context_length,128,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E02,docs/HY/testresult/E02_context_length_192_result.md,context_length,context_length,E00,context_length,192,123,3000,192,192,4,4,4,,0.1,,False,False,192,5,32,0.0004,0.1,False,
E03,docs/HY/testresult/E03_context_length_256_result.md,context_length,context_length,E00,context_length,256,123,3000,256,192,4,4,4,,0.1,,False,False,256,5,32,0.0004,0.1,False,
E04,docs/HY/testresult/E04_vocab_size_2000_result.md,vocab_size,vocab_size,E00,vocab_size,2000,123,2000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,vocab_size,vocab_size,E00,vocab_size,3000,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E05,docs/HY/testresult/E05_vocab_size_4000_result.md,vocab_size,vocab_size,E00,vocab_size,4000,123,4000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E06,docs/HY/testresult/E06_vocab_size_5000_result.md,vocab_size,vocab_size,E00,vocab_size,5000,123,5000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E07,docs/HY/testresult/E07_emb_dim_128_result.md,emb_dim,emb_dim,E00,emb_dim,128,123,3000,128,128,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,emb_dim,emb_dim,E00,emb_dim,192,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
