experiment_id,title,source_md,comparison_group,changed_variable,changed_value,seed,vocab_size,context_length,emb_dim,n_heads,n_layers,ffn_mult,activation,drop_rate,norm_first,qkv_bias,weight_tying,stride,num_epochs,parameter_count,actual_vocab_size,bpe_merge_count,train_char_count,val_char_count,train_token_count,val_token_count,train_tokens_per_char,val_tokens_per_char,train_chars_per_token,val_chars_per_token,best_epoch,best_step,best_tokens_seen,best_val_loss,best_val_bits_per_char,final_epoch,final_step,final_tokens_seen,final_train_loss,final_val_loss,final_train_bits_per_char,final_val_bits_per_char,final_minus_best_val_loss,final_minus_best_val_bits_per_char,final_generalization_gap,gap_slope_last_quarter,overfit_score,tokens_per_parameter,tokens_per_sec_after_warmup,compute_proxy_param_tokens,estimated_train_flops
E00,E00 기준 모델,docs/HY/testresult/E00_baseline_result.md,weight_tying_5ep,tie_embeddings,,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,2954112.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,980.0,4014080.0,5.30197,4.465754565235216,5.0,980.0,4014080.0,5.08143,5.30197,4.278094745897197,4.465754565235216,0.0,0.0,0.22053999999999974,4.1628467793367905e-08,0.26216846779336767,1.3588110403397027,195309.0,11858041896960.0,71148251381760.0
E01,E01 context_length 64,docs/HY/testresult/E01_context_length_64_result.md,context_length,context_length,64,123,3000,64,192,4,4,4,,0.1,,False,False,64,5,2941824.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,1965.0,4024320.0,5.14607,4.3344427817433875,5.0,1965.0,4024320.0,4.81739,5.14607,4.0557974522797124,4.3344427817433875,0.0,0.0,0.3286800000000003,6.580993468194799e-08,0.39448993468194826,1.367967628246965,102490.0,11838841159680.0,71033046958080.0
E02,E02 context_length 192,docs/HY/testresult/E02_context_length_192_result.md,context_length,context_length,192,123,3000,192,192,4,4,4,,0.1,,False,False,192,5,2966400.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,655.0,4024320.0,5.38864,4.538755157122559,5.0,655.0,4024320.0,5.20391,5.38864,4.381211593807625,4.538755157122559,0.0,0.0,0.18473000000000006,5.664310989185836e-08,0.24137310989185842,1.3566343042071198,288414.0,11937742848000.0,71626457088000.0
E03,E03 context_length 256,docs/HY/testresult/E03_context_length_256_result.md,context_length,context_length,256,123,3000,256,192,4,4,4,,0.1,,False,False,256,5,2978688.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,490.0,4014080.0,5.447,4.587910742014048,5.0,490.0,4014080.0,5.28709,5.447,4.451241471413679,4.587910742014048,0.0,0.0,0.15991,5.171795280612162e-08,0.21162795280612162,1.3476000171887756,340329.0,11956691927040.0,71740151562240.0
E04,E04 vocab_size 2000,docs/HY/testresult/E04_vocab_size_2000_result.md,vocab_size,vocab_size,2000,123,2000,128,192,4,4,4,,0.1,,False,False,128,5,2570112.0,2000,1740,1379486.0,120560.0,900849.0,78686.0,0.6530323613287847,0.6526708692767087,1.5313176792114993,1.532165823653509,5.0,1095.0,4485120.0,4.81135,4.530391343953417,5.0,1095.0,4485120.0,4.6316,4.81135,4.363553325409256,4.530391343953417,0.0,0.0,0.1797500000000003,5.777138157894694e-08,0.23752138157894725,1.7451068280292843,195012.0,11527260733440.0,69163564400640.0
E05,E05 vocab_size 4000,docs/HY/testresult/E05_vocab_size_4000_result.md,vocab_size,vocab_size,4000,123,4000,128,192,4,4,4,,0.1,,False,False,128,5,3338112.0,4000,3740,1379486.0,120560.0,750427.0,65634.0,0.5439902978355706,0.5444094226940942,1.8382680793734767,1.836852850656672,5.0,915.0,3747840.0,5.63839,4.428486086237044,5.0,915.0,3747840.0,5.34196,5.63839,4.192434872314089,4.428486086237044,0.0,0.0,0.29642999999999997,1.0824901810109347e-07,0.4046790181010934,1.122742436443115,195553.0,12510709678080.0,75064258068480.0
E06,E06 vocab_size 5000,docs/HY/testresult/E06_vocab_size_5000_result.md,vocab_size,vocab_size,5000,123,5000,128,192,4,4,4,,0.1,,False,False,128,5,3722112.0,5000,4740,1379486.0,120560.0,712949.0,62493.0,0.5168222076918504,0.5183560053085601,1.9349013744321122,1.9291760677195846,5.0,870.0,3563520.0,5.88253,4.399130282034029,5.0,870.0,3563520.0,5.55253,5.88253,4.140059850718895,4.399130282034029,0.0,0.0,0.33000000000000007,1.2828607668821824e-07,0.4582860766882183,0.9573919323222945,188826.0,13263820554240.0,79582923325440.0
E07,E07 emb_dim 128,docs/HY/testresult/E07_emb_dim_128_result.md,emb_dim,emb_dim,128,123,3000,128,128,4,4,4,,0.1,,False,False,128,5,1576192.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,980.0,4014080.0,5.39211,4.541677876100858,5.0,980.0,4014080.0,5.24061,5.39211,4.412109604244536,4.541677876100858,0.0,0.0,0.15149999999999952,2.3081253985968477e-08,0.174581253985968,2.546694818905311,198884.0,6326960783360.0,37961764700160.0
E08,E08 emb_dim 256,docs/HY/testresult/E08_emb_dim_256_result.md,emb_dim,emb_dim,256,123,3000,128,256,4,4,4,,0.1,,False,False,128,5,4725248.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,980.0,4014080.0,5.22917,4.404436426439801,5.0,980.0,4014080.0,4.9471,5.22917,4.165001292436976,4.404436426439801,0.0,0.0,0.28207000000000004,5.7323222257653554e-08,0.3393932222576536,0.8494961534294073,196909.0,18967523491840.0,113805140951040.0
E09,E09 n_heads 3,docs/HY/testresult/E09_n_heads_3_result.md,n_heads_5ep,n_heads,3,123,3000,128,192,3,4,4,,0.1,,False,False,128,5,2954112.0,3000,2740,1379486.0,120560.0,805021.0,70386.0,0.5835659078816313,0.5838254810882548,1.7136025022949712,1.7128406217145455,5.0,980.0,4014080.0,5.28845,4.454366910887496,5.0,980.0,4014080.0,5.07094,5.28845,4.269263134739617,4.454366910887496,0.0,0.0,0.21750999999999987,3.814074457908147e-08,0.2556507445790813,1.3588110403397027,200459.0,11858041896960.0,71148251381760.0
