experiment_id,epoch,step,tokens_seen,estimated_chars_seen,train_loss,val_loss,test_loss,train_nats_per_char,val_nats_per_char,train_bits_per_char,val_bits_per_char,train_val_gap,best_val_loss_so_far,best_val_bits_per_char_so_far,val_loss_minus_best_so_far,val_bits_minus_best_so_far,lr,grad_norm,elapsed_sec,tokens_per_sec,tokens_per_sec_after_warmup,parameter_count,compute_proxy_param_tokens,estimated_train_flops
E00,0.0,0.0,0.0,0.0,8.04498,8.04569,8.04569,4.694776057589567,4.697278834936961,6.773130136368707,6.7767408808362415,0.0007099999999997664,8.04569,6.7767408808362415,0.0,0.0,0.0004,,0.0,0.0,0.0,2954112.0,0.0,0.0
E00,1.0,196.0,802816.0,1375707.5064824396,6.66866,6.69404,6.69404,3.8916026272539197,3.9081511234240214,5.6143958114496915,5.638270244808467,0.02538000000000018,6.69404,5.638270244808467,0.0,0.0,0.0004,0.644256,4.26575,188200.0,188200.0,2954112.0,2371608379392.0,14229650276352.0
E00,2.0,392.0,1605632.0,2751415.012964879,5.60554,5.69304,5.69304,3.2712020392667998,3.323741816854678,4.719346959796076,4.795145836371518,0.08749999999999947,5.69304,4.795145836371518,0.0,0.0,0.0004,0.590515,8.08838,198511.0,198511.0,2954112.0,4743216758784.0,28459300552704.0
E00,3.0,500.0,2048000.0,3509457.924700101,5.43411,5.54592,5.54592,3.1711613356786517,3.237849412076974,4.575018732842413,4.6712292899486965,0.1118099999999993,5.54592,4.6712292899486965,0.0,0.0,0.0004,0.633486,10.3441,197988.0,197988.0,2954112.0,6050021376000.0,36300128256000.0
E00,3.0,588.0,2408448.0,4127122.5194473187,5.33342,5.471,5.471,3.1124020844140503,3.194109207033842,4.490247052436623,4.608125513045503,0.1375799999999998,5.471,4.608125513045503,0.0,0.0,0.0004,0.7332,12.3281,195362.0,195362.0,2954112.0,7114825138176.0,42688950829056.0
E00,4.0,784.0,3211264.0,5502830.025929758,5.18709,5.37421,5.37421,3.027008885113731,3.1376007387193097,4.36705070728041,4.526601026039897,0.1871199999999993,5.37421,4.526601026039897,0.0,0.0,0.0004,0.686664,16.5012,194608.0,194608.0,2954112.0,9486433517568.0,56918601105408.0
E00,5.0,980.0,4014080.0,6878537.532412198,5.08143,5.30197,5.30197,2.965349311286958,3.095425185965494,4.278094745897197,4.465754565235216,0.22053999999999974,5.30197,4.465754565235216,0.0,0.0,0.0004,0.772134,20.5524,195309.0,195309.0,2954112.0,11858041896960.0,71148251381760.0
E01,0.0,0.0,0.0,0.0,8.04127,8.04343,8.04343,4.692611028071326,4.695959389349702,6.770006659019362,6.774837323230781,0.0021599999999999397,8.04343,6.774837323230781,0.0,0.0,0.0004,,0.0,0.0,0.0,2941824.0,0.0,0.0
E01,1.0,393.0,804864.0,1379216.9644071397,5.84287,5.89394,5.89394,3.409699736184347,3.4410323560053087,4.919156900313564,4.964360315547325,0.05107000000000017,5.89394,4.964360315547325,0.0,0.0,0.0004,0.795146,7.937,101407.0,101407.0,2941824.0,2367768231936.0,14206609391616.0
E01,2.0,500.0,1024000.0,1754728.9623500505,5.61922,5.70672,5.70672,3.2791852208866206,3.3317285494359656,4.730864256329507,4.806668255859448,0.08749999999999947,5.70672,4.806668255859448,0.0,0.0,0.0004,0.838693,10.119,101196.0,101196.0,2941824.0,3012427776000.0,18074566656000.0
E01,2.0,786.0,1609728.0,2758433.9288142794,5.31739,5.46714,5.46714,3.1030475229107073,3.1918556406768412,4.47675127294606,4.604874304037944,0.14975000000000005,5.46714,4.604874304037944,0.0,0.0,0.0004,0.977452,15.779,102017.0,102017.0,2941824.0,4735536463872.0,28413218783232.0
E01,3.0,1000.0,2048000.0,3509457.924700101,5.22012,5.37575,5.37575,3.046284067051061,3.138499829960186,4.394858916673629,4.527898140514415,0.15563000000000038,5.37575,4.527898140514415,0.0,0.0,0.0004,1.00622,20.1672,101551.0,101551.0,2941824.0,6024855552000.0,36149133312000.0
E01,3.0,1179.0,2414592.0,4137650.8932214193,5.11384,5.30855,5.30855,2.9842626823614014,3.0992667576310553,4.30538097255279,4.47129678162634,0.1947100000000006,5.30855,4.47129678162634,0.0,0.0,0.0004,1.15798,23.5824,102390.0,102390.0,2941824.0,7103304695808.0,42619828174848.0
E01,4.0,1500.0,3072000.0,5264186.887050152,4.96323,5.22524,5.22524,2.8963718209753493,3.050628256801593,4.178581262691673,4.401126257683401,0.2620100000000001,5.22524,4.401126257683401,0.0,0.0,0.0004,1.24472,29.5924,103810.0,103810.0,2941824.0,9037283328000.0,54223699968000.0
E01,4.0,1572.0,3219456.0,5516867.857628559,4.92641,5.20881,5.20881,2.874884924247147,3.0410360041473123,4.147582223337802,4.387287562348117,0.2824,5.20881,4.387287562348117,0.0,0.0,0.0004,1.23385,31.24,103055.0,103055.0,2941824.0,9471072927744.0,56826437566464.0
E01,5.0,1965.0,4024320.0,6896084.822035698,4.81739,5.14607,5.14607,2.8112645689698916,3.0044067934638354,4.0557974522797124,4.3344427817433875,0.3286800000000003,5.14607,4.3344427817433875,0.0,0.0,0.0004,1.36525,39.2653,102490.0,102490.0,2941824.0,11838841159680.0,71033046958080.0
E02,0.0,0.0,0.0,0.0,8.04499,8.04399,8.04399,4.694781893248646,4.6962863316191115,6.7731385554451204,6.7753090012215145,-0.0009999999999994458,8.04399,6.7753090012215145,0.0,0.0,0.0004,,0.0,0.0,0.0,2966400.0,0.0,0.0
E02,1.0,131.0,804864.0,1379216.9644071397,7.22584,7.23586,7.23586,4.216753879807407,4.224479445587259,6.083489911047442,6.094635546486097,0.010019999999999918,7.23586,6.094635546486097,0.0,0.0,0.0004,0.311191,3.03101,265543.0,265543.0,2966400.0,2387548569600.0,14325291417600.0
E02,2.0,262.0,1609728.0,2758433.9288142794,5.89884,5.95055,5.95055,3.442361920048482,3.474082716489715,4.966278470998955,5.01204190671777,0.05170999999999992,5.95055,5.01204190671777,0.0,0.0,0.0004,0.509377,5.78309,278351.0,278351.0,2966400.0,4775097139200.0,28650582835200.0
E02,3.0,393.0,2414592.0,4137650.8932214193,5.48859,5.59624,5.59624,3.202954006340043,3.267227510285335,4.620885861142217,4.713612926544648,0.10764999999999958,5.59624,4.713612926544648,0.0,0.0,0.0004,0.54815,8.53011,283067.0,283067.0,2966400.0,7162645708800.0,42975874252800.0
E02,4.0,500.0,3072000.0,5264186.887050152,5.34414,5.48136,5.48136,3.1186579109465415,3.2001576390179163,4.49927230235171,4.6168515558740815,0.13721999999999923,5.48136,4.6168515558740815,0.0,0.0,0.0004,0.548111,10.7306,286285.0,286285.0,2966400.0,9112780800000.0,54676684800000.0
E02,4.0,524.0,3219456.0,5516867.857628559,5.32263,5.46177,5.46177,3.1061054082680073,3.188720497843397,4.481162868986643,4.600351249019655,0.13913999999999938,5.46177,4.600351249019655,0.0,0.0,0.0004,0.563521,11.3551,283525.0,283525.0,2966400.0,9550194278400.0,57301165670400.0
E02,5.0,655.0,4024320.0,6896084.822035698,5.20391,5.38864,5.38864,3.0368244636842996,3.146025340411413,4.381211593807625,4.538755157122559,0.18473000000000006,5.38864,4.538755157122559,0.0,0.0,0.0004,0.575668,13.9533,288414.0,288414.0,2966400.0,11937742848000.0,71626457088000.0
E03,0.0,0.0,0.0,0.0,8.04388,8.04323,8.04323,4.694134135090897,4.695842624253483,6.77220403796324,6.774668866805516,-0.0006500000000002615,8.04323,6.774668866805516,0.0,0.0,0.0004,,0.0,0.0,0.0,2978688.0,0.0,0.0
