best_experiment_id,comparison_group,mean_final_generalization_gap,mean_final_val_bits_per_char,run_count,std_final_val_bits_per_char
E25,activation_10ep,0.49288699999999996,4.309153260900911,2,0.01670666597537185
E49,activation_seed,0.8361907777777777,4.2670199692702795,9,0.039737394244014936
E01,context_length,0.2244400000000001,4.487036226959998,3,0.10975013294999444
E38,depth_norm_10ep,0.318076,4.41563035589847,1,0.0
E46,depth_norm_20ep,0.7832598742,4.6264923170918335,5,0.7573651417183124
E16,dropout_5ep,0.22391666666666707,4.455798790502224,3,0.031103957244976825
E24,dropout_long,1.366524,4.392476020246191,3,0.1465382082494969
E08,emb_dim,0.21678499999999978,4.473057151270329,2,0.06862072483052817
E36,ffn_multiplier_10ep,0.4825695,4.298190959026978,2,0.006232887734698878
E14,ffn_multiplier_5ep,0.21441500000000024,4.460869328902614,2,0.003748155462082625
E32,n_heads_10ep,0.48112925,4.3046512629357805,4,0.007685728635663952
E09,n_heads_5ep,0.2182599999999999,4.460347113984302,2,0.005980203096805692
E12,n_layers_5ep,0.20813666666666672,4.478478640556682,3,0.00319789528493784
E27,norm_first_10ep,0.378632,4.386175749941387,1,0.0
E37,qkv_bias_10ep,0.48172166666666666,4.291598697585053,3,0.014977810451104934
E19,qkv_bias_5ep,0.21384999999999987,4.460498724767038,1,0.0
E62,regularized_depth_norm,0.3899355,4.309031129992595,4,0.04548375695470653
E29,stride_10ep,0.86455,4.214847142628541,1,0.0
E06,vocab_size,0.2687266666666668,4.452669237408163,3,0.05624935670432311
E00,weight_tying_5ep,0.16922999999999977,4.518531963269841,2,0.05277739803462467
E42,weight_tying_long,1.0125844,4.328779276726075,5,0.11366973835558604
