phase,condition_id,purpose,stage,sweep_axis,axis_value,planned_runs,completed_runs,ready_for_screen,ready_for_claim,final_val_bits_per_char_n,final_val_loss_n,best_val_loss_n,final_generalization_gap_n,generalization_gap_delta_n,train_val_improvement_gap_n,overfit_score_n,elapsed_sec_n,seconds_per_epoch_n,tokens_per_sec_n,paired_delta_bits_vs_phase_baseline_n,beats_baseline_count,beats_baseline_ratio
phase1_lr,LR0050,learning-rate sweep lr=5e-05,exploratory,learning_rate,5e-05,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0070,learning-rate sweep lr=7e-05,exploratory,learning_rate,7e-05,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0100,learning-rate sweep lr=0.0001,exploratory,learning_rate,0.0001,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0150,learning-rate sweep lr=0.00015,exploratory,learning_rate,0.00015,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0200,learning-rate sweep lr=0.0002,exploratory,learning_rate,0.0002,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0300,learning-rate sweep lr=0.0003,exploratory,learning_rate,0.0003,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0500,learning-rate sweep lr=0.0005,exploratory,learning_rate,0.0005,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR0700,learning-rate sweep lr=0.0007,exploratory,learning_rate,0.0007,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR1000,learning-rate sweep lr=0.001,exploratory,learning_rate,0.001,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR1500,learning-rate sweep lr=0.0015,exploratory,learning_rate,0.0015,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR2000,learning-rate sweep lr=0.002,exploratory,learning_rate,0.002,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase1_lr,LR3000,learning-rate sweep lr=0.003,exploratory,learning_rate,0.003,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0025,epoch milestone 25 from 1500-epoch long-run,exploratory,epochs,25,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0050,epoch milestone 50 from 1500-epoch long-run,exploratory,epochs,50,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0075,epoch milestone 75 from 1500-epoch long-run,exploratory,epochs,75,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0100,epoch milestone 100 from 1500-epoch long-run,exploratory,epochs,100,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0150,epoch milestone 150 from 1500-epoch long-run,exploratory,epochs,150,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0200,epoch milestone 200 from 1500-epoch long-run,exploratory,epochs,200,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
