phase,condition_id,purpose,sweep_axis,axis_value,stage,vocab_size,tokenizer_min_frequency,context_length,batch_size,emb_dim,n_heads,n_layers,drop_rate,ffn_mult,norm_first,activation_name,attention_impl,qkv_bias,tie_embeddings,init_std,learning_rate,weight_decay,grad_clip,epochs,epoch_milestones,run_number,repeat_index,seed
phase1_lr,LR0050,learning-rate sweep lr=5e-05,learning_rate,5e-05,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,5e-05,0.05,1.0,50,,1,1,123
phase1_lr,LR0050,learning-rate sweep lr=5e-05,learning_rate,5e-05,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,5e-05,0.05,1.0,50,,2,2,321
phase1_lr,LR0050,learning-rate sweep lr=5e-05,learning_rate,5e-05,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,5e-05,0.05,1.0,50,,3,3,777
phase1_lr,LR0070,learning-rate sweep lr=7e-05,learning_rate,7e-05,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,7e-05,0.05,1.0,50,,4,1,123
phase1_lr,LR0070,learning-rate sweep lr=7e-05,learning_rate,7e-05,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,7e-05,0.05,1.0,50,,5,2,321
phase1_lr,LR0070,learning-rate sweep lr=7e-05,learning_rate,7e-05,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,7e-05,0.05,1.0,50,,6,3,777
phase1_lr,LR0100,learning-rate sweep lr=0.0001,learning_rate,0.0001,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0001,0.05,1.0,50,,7,1,123
phase1_lr,LR0100,learning-rate sweep lr=0.0001,learning_rate,0.0001,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0001,0.05,1.0,50,,8,2,321
phase1_lr,LR0100,learning-rate sweep lr=0.0001,learning_rate,0.0001,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0001,0.05,1.0,50,,9,3,777
phase1_lr,LR0150,learning-rate sweep lr=0.00015,learning_rate,0.00015,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.00015,0.05,1.0,50,,10,1,123
phase1_lr,LR0150,learning-rate sweep lr=0.00015,learning_rate,0.00015,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.00015,0.05,1.0,50,,11,2,321
phase1_lr,LR0150,learning-rate sweep lr=0.00015,learning_rate,0.00015,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.00015,0.05,1.0,50,,12,3,777
phase1_lr,LR0200,learning-rate sweep lr=0.0002,learning_rate,0.0002,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0002,0.05,1.0,50,,13,1,123
phase1_lr,LR0200,learning-rate sweep lr=0.0002,learning_rate,0.0002,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0002,0.05,1.0,50,,14,2,321
phase1_lr,LR0200,learning-rate sweep lr=0.0002,learning_rate,0.0002,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0002,0.05,1.0,50,,15,3,777
phase1_lr,LR0300,learning-rate sweep lr=0.0003,learning_rate,0.0003,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,16,1,123
phase1_lr,LR0300,learning-rate sweep lr=0.0003,learning_rate,0.0003,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,17,2,321
phase1_lr,LR0300,learning-rate sweep lr=0.0003,learning_rate,0.0003,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,18,3,777
phase1_lr,LR0500,learning-rate sweep lr=0.0005,learning_rate,0.0005,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0005,0.05,1.0,50,,19,1,123
phase1_lr,LR0500,learning-rate sweep lr=0.0005,learning_rate,0.0005,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0005,0.05,1.0,50,,20,2,321
phase1_lr,LR0500,learning-rate sweep lr=0.0005,learning_rate,0.0005,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0005,0.05,1.0,50,,21,3,777
phase1_lr,LR0700,learning-rate sweep lr=0.0007,learning_rate,0.0007,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0007,0.05,1.0,50,,22,1,123
phase1_lr,LR0700,learning-rate sweep lr=0.0007,learning_rate,0.0007,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0007,0.05,1.0,50,,23,2,321
phase1_lr,LR0700,learning-rate sweep lr=0.0007,learning_rate,0.0007,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0007,0.05,1.0,50,,24,3,777
phase1_lr,LR1000,learning-rate sweep lr=0.001,learning_rate,0.001,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.001,0.05,1.0,50,,25,1,123
phase1_lr,LR1000,learning-rate sweep lr=0.001,learning_rate,0.001,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.001,0.05,1.0,50,,26,2,321
phase1_lr,LR1000,learning-rate sweep lr=0.001,learning_rate,0.001,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.001,0.05,1.0,50,,27,3,777
phase1_lr,LR1500,learning-rate sweep lr=0.0015,learning_rate,0.0015,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0015,0.05,1.0,50,,28,1,123
phase1_lr,LR1500,learning-rate sweep lr=0.0015,learning_rate,0.0015,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0015,0.05,1.0,50,,29,2,321
phase1_lr,LR1500,learning-rate sweep lr=0.0015,learning_rate,0.0015,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0015,0.05,1.0,50,,30,3,777
phase1_lr,LR2000,learning-rate sweep lr=0.002,learning_rate,0.002,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.002,0.05,1.0,50,,31,1,123
phase1_lr,LR2000,learning-rate sweep lr=0.002,learning_rate,0.002,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.002,0.05,1.0,50,,32,2,321
phase1_lr,LR2000,learning-rate sweep lr=0.002,learning_rate,0.002,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.002,0.05,1.0,50,,33,3,777
phase1_lr,LR3000,learning-rate sweep lr=0.003,learning_rate,0.003,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.003,0.05,1.0,50,,34,1,123
phase1_lr,LR3000,learning-rate sweep lr=0.003,learning_rate,0.003,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.003,0.05,1.0,50,,35,2,321
phase1_lr,LR3000,learning-rate sweep lr=0.003,learning_rate,0.003,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.003,0.05,1.0,50,,36,3,777
phase2_epoch,EH1500,epoch horizon long-run with 25..1500 milestone extraction,epoch_milestones,25|50|75|100|150|200|300|400|600|800|1000|1200|1500,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,1500,25|50|75|100|150|200|300|400|600|800|1000|1200|1500,37,1,123
phase2_epoch,EH1500,epoch horizon long-run with 25..1500 milestone extraction,epoch_milestones,25|50|75|100|150|200|300|400|600|800|1000|1200|1500,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,1500,25|50|75|100|150|200|300|400|600|800|1000|1200|1500,38,2,321
phase2_epoch,EH1500,epoch horizon long-run with 25..1500 milestone extraction,epoch_milestones,25|50|75|100|150|200|300|400|600|800|1000|1200|1500,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,1500,25|50|75|100|150|200|300|400|600|800|1000|1200|1500,39,3,777
phase3_vocab,V04000,tokenizer vocab-size sweep vocab=4000,vocab_size,4000,exploratory,4000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,40,1,123
phase3_vocab,V04000,tokenizer vocab-size sweep vocab=4000,vocab_size,4000,exploratory,4000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,41,2,321
phase3_vocab,V04000,tokenizer vocab-size sweep vocab=4000,vocab_size,4000,exploratory,4000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,42,3,777
phase3_vocab,V06000,tokenizer vocab-size sweep vocab=6000,vocab_size,6000,exploratory,6000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,43,1,123
phase3_vocab,V06000,tokenizer vocab-size sweep vocab=6000,vocab_size,6000,exploratory,6000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,44,2,321
phase3_vocab,V06000,tokenizer vocab-size sweep vocab=6000,vocab_size,6000,exploratory,6000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,45,3,777
phase3_vocab,V08000,tokenizer vocab-size sweep vocab=8000,vocab_size,8000,exploratory,8000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,46,1,123
phase3_vocab,V08000,tokenizer vocab-size sweep vocab=8000,vocab_size,8000,exploratory,8000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,47,2,321
phase3_vocab,V08000,tokenizer vocab-size sweep vocab=8000,vocab_size,8000,exploratory,8000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,48,3,777
phase3_vocab,V10000,tokenizer vocab-size sweep vocab=10000,vocab_size,10000,exploratory,10000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,49,1,123
phase3_vocab,V10000,tokenizer vocab-size sweep vocab=10000,vocab_size,10000,exploratory,10000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,50,2,321
phase3_vocab,V10000,tokenizer vocab-size sweep vocab=10000,vocab_size,10000,exploratory,10000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,51,3,777
phase3_vocab,V12000,tokenizer vocab-size sweep vocab=12000,vocab_size,12000,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,52,1,123
phase3_vocab,V12000,tokenizer vocab-size sweep vocab=12000,vocab_size,12000,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,53,2,321
phase3_vocab,V12000,tokenizer vocab-size sweep vocab=12000,vocab_size,12000,exploratory,12000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,54,3,777
phase3_vocab,V16000,tokenizer vocab-size sweep vocab=16000,vocab_size,16000,exploratory,16000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,55,1,123
phase3_vocab,V16000,tokenizer vocab-size sweep vocab=16000,vocab_size,16000,exploratory,16000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,56,2,321
phase3_vocab,V16000,tokenizer vocab-size sweep vocab=16000,vocab_size,16000,exploratory,16000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,57,3,777
phase3_vocab,V20000,tokenizer vocab-size sweep vocab=20000,vocab_size,20000,exploratory,20000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,58,1,123
phase3_vocab,V20000,tokenizer vocab-size sweep vocab=20000,vocab_size,20000,exploratory,20000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,59,2,321
phase3_vocab,V20000,tokenizer vocab-size sweep vocab=20000,vocab_size,20000,exploratory,20000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,60,3,777
phase3_vocab,V24000,tokenizer vocab-size sweep vocab=24000,vocab_size,24000,exploratory,24000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,61,1,123
phase3_vocab,V24000,tokenizer vocab-size sweep vocab=24000,vocab_size,24000,exploratory,24000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,62,2,321
phase3_vocab,V24000,tokenizer vocab-size sweep vocab=24000,vocab_size,24000,exploratory,24000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,63,3,777
phase3_vocab,V32000,tokenizer vocab-size sweep vocab=32000,vocab_size,32000,exploratory,32000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,64,1,123
phase3_vocab,V32000,tokenizer vocab-size sweep vocab=32000,vocab_size,32000,exploratory,32000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,65,2,321
phase3_vocab,V32000,tokenizer vocab-size sweep vocab=32000,vocab_size,32000,exploratory,32000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,66,3,777
phase3_vocab,V40000,tokenizer vocab-size sweep vocab=40000,vocab_size,40000,exploratory,40000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,67,1,123
phase3_vocab,V40000,tokenizer vocab-size sweep vocab=40000,vocab_size,40000,exploratory,40000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,68,2,321
phase3_vocab,V40000,tokenizer vocab-size sweep vocab=40000,vocab_size,40000,exploratory,40000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,69,3,777
phase3_vocab,V48000,tokenizer vocab-size sweep vocab=48000,vocab_size,48000,exploratory,48000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,70,1,123
phase3_vocab,V48000,tokenizer vocab-size sweep vocab=48000,vocab_size,48000,exploratory,48000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,71,2,321
phase3_vocab,V48000,tokenizer vocab-size sweep vocab=48000,vocab_size,48000,exploratory,48000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,72,3,777
phase3_vocab,V56000,tokenizer vocab-size sweep vocab=56000,vocab_size,56000,exploratory,56000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,73,1,123
phase3_vocab,V56000,tokenizer vocab-size sweep vocab=56000,vocab_size,56000,exploratory,56000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,74,2,321
phase3_vocab,V56000,tokenizer vocab-size sweep vocab=56000,vocab_size,56000,exploratory,56000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,75,3,777
phase3_vocab,V64000,tokenizer vocab-size sweep vocab=64000,vocab_size,64000,exploratory,64000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,76,1,123
phase3_vocab,V64000,tokenizer vocab-size sweep vocab=64000,vocab_size,64000,exploratory,64000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,77,2,321
phase3_vocab,V64000,tokenizer vocab-size sweep vocab=64000,vocab_size,64000,exploratory,64000,2,512,4,512,8,8,0.1,4,True,gelu,sdpa,False,True,0.02,0.0003,0.05,1.0,50,,78,3,777
