run_id,fit_status,risk_level,best_candidate,selection_score,epochs,steps_per_epoch,max_steps,final_train_loss,final_val_loss,final_generalization_gap,generalization_gap_delta,train_val_improvement_gap,overfit_score,parameter_count,tokens_per_sec,device,changed_variables,hypothesis,artifact_dir
1,underfit_or_too_short,low,False,6.428327,0.025641,39.0,1.0,6.413618,6.421782,0.008164,0.000845,0.000845,0.009853,343104.0,22892.342234,cpu,"{""activation_name"": ""gelu"", ""attention_impl"": ""manual"", ""batch_size"": 4, ""context_length"": 48, ""drop_rate"": 0.1, ""effective_max_steps"": ""1"", ""emb_dim"": 96, ""epochs"": ""0.025641"", ""eval_batches"": 4, ""ffn_dropout_position"": ""after_output"", ""ffn_mult"": 4, ""grad_clip"": 1.0, ""hypothesis"": ""기준선 수립: 현재 하드웨어에 맞춘 작은 GPT 설정으로 train/val gap과 처리량 기준점을 만든다."", ""init_std"": 0.02, ""learning_rate"": 0.0003, ""min_frequency"": 2, ""n_heads"": 4, ""n_layers"": 2, ""norm_eps"": 1e-05, ""norm_first"": false, ""qkv_bias"": false, ""run_id"": 1, ""seed"": 123, ""stride"": null, ""tie_embeddings"": false, ""train_ratio"": 0.9, ""vocab_size"": 600, ""weight_decay"": 0.01}",기준선 수립: 현재 하드웨어에 맞춘 작은 GPT 설정으로 train/val gap과 처리량 기준점을 만든다.,docs/train/runs/run_001_artifacts
2,overfit_risk,high,False,6.333887,2.666667,15.0,40.0,5.710261,5.763572,0.053311,0.060665,0.060665,0.17464,557824.0,8252.360872,mps,"{""batch_size"": 8, ""context_length"": 64, ""effective_max_steps"": ""40"", ""emb_dim"": 128, ""epochs"": ""2.666667"", ""learning_rate"": 0.0003, ""n_layers"": 2, ""seed"": 134}","MPS 기준선 재수립: run 001은 max_steps=1 smoke라 과소학습 신호가 강했으므로, Apple Silicon MPS에 맞춘 중간 크기 기준선으로 validation 개선과 gap 안정성을 다시 측정한다.",docs/train/runs/run_002_artifacts
3,overfit_risk,high,False,6.34258,2.666667,15.0,40.0,5.722469,5.774217,0.051748,0.059102,0.059102,0.169953,557824.0,30303.168265,mps,"{""drop_rate"": 0.2}","정규화 강도 단일축 테스트: run 002는 validation loss를 크게 낮췄지만 final_generalization_gap과 overfit_score가 함께 커졌으므로, 같은 seed와 같은 MPS 기준선에서 drop_rate만 0.10에서 0.20으로 올리면 validation 성능을 크게 잃지 않으면서 gap을 줄일 수 있다.",docs/train/runs/run_003_artifacts
4,overfit_risk,high,False,6.316994,2.666667,15.0,40.0,5.71931,5.755529,0.036219,0.0686,0.0686,0.173419,481024.0,29670.539735,mps,"{""tie_embeddings"": true}","입출력 임베딩 공유 단일축 테스트: run 002가 현재 best지만 overfit_risk이고, run 003의 dropout 강화는 gap을 아주 조금만 낮췄다. 따라서 run 002 설정을 거의 고정하고 tie_embeddings=True만 적용하면 parameter_count가 줄어 작은 말뭉치에서 외우는 힘이 낮아져 final_generalization_gap과 overfit_score가 개선될 수 있다.",docs/train/runs/run_004_artifacts
5,overfit_risk,high,False,6.31718,2.666667,15.0,40.0,5.719561,5.755751,0.036191,0.068571,0.068571,0.173334,481024.0,28823.595855,mps,"{""weight_decay"": 0.05}",weight_decay 단일축 정규화 테스트: run 004는 tie_embeddings=True로 validation loss와 final gap을 개선해 best가 되었지만 overfit_score는 여전히 높다. run 004 설정을 유지하고 weight_decay만 0.01에서 0.05로 올리면 train 쪽 과도한 개선을 누그러뜨려 overfit_score와 train_val_improvement_gap을 낮출 수 있다.,docs/train/runs/run_005_artifacts
6,overfit_risk,high,False,6.343816,2.666667,15.0,40.0,5.724432,5.776598,0.052166,0.056187,0.056187,0.16454,415232.0,32748.433766,mps,"{""ffn_mult"": 3}","FFN 용량 축소 단일축 테스트: run 004의 tie_embeddings=True 설정은 validation loss와 final gap을 개선했지만 overfit_score는 여전히 높다. weight_decay 강화(run 005)는 거의 효과가 없었으므로, run 004 설정을 유지하고 ffn_mult만 4에서 3으로 줄이면 token별 FFN 암기 용량이 낮아져 validation 성능을 크게 잃지 않으면서 overfit_score와 train_val_improvement_gap이 완화될 수 있다.",docs/train/runs/run_006_artifacts
7,generalizing,medium,False,5.813204,2.666667,15.0,40.0,5.707885,5.754853,0.046968,0.046251,0.046251,0.13947,481024.0,22407.438011,mps,"{""seed"": 151}","best 설정 seed 재현성 검증: run 004의 tie_embeddings=True 설정은 현재까지 가장 낮은 final_val_loss와 안정적인 final gap을 보였지만, 아직 seed=134 한 번의 결과다. 구조나 regularization 축을 더 바꾸기 전에 seed만 151로 바꿔도 validation 개선과 gap 완화가 유지되는지 확인한다.",docs/train/runs/run_007_artifacts
8,generalizing,medium,False,5.81287,2.666667,15.0,40.0,5.707627,5.754559,0.046932,0.046224,0.046224,0.139379,481024.0,28917.761682,mps,"{""activation_name"": ""quick_gelu""}","quick_gelu 활성함수 단일축 테스트: tie_embeddings=True 기준선은 seed=151에서 generalizing을 만들었으므로, 같은 설정에서 activation_name만 gelu에서 quick_gelu로 바꾸면 GELU 근사 특성으로 validation 성능을 유지하면서 처리량 또는 overfit_score가 개선될 수 있다.",docs/train/runs/run_008_artifacts
9,overfit_risk,high,False,6.316701,2.666667,15.0,40.0,5.719072,5.755268,0.036196,0.068573,0.068573,0.173343,481024.0,31262.147735,mps,"{""seed"": 134}","quick_gelu seed 재현성 검증: run 008은 seed=151에서 quick_gelu가 gelu 기준선(run 007)보다 validation loss, overfit_score, 처리량을 모두 조금 개선했다. 같은 quick_gelu + tie_embeddings=True 설정을 seed=134에서도 실행하면 run 004(gelu, seed=134) 대비 generalization gap과 overfit_score가 유지 또는 개선되는지 확인할 수 있다.",docs/train/runs/run_009_artifacts
10,generalizing,medium,False,5.815743,2.666667,15.0,40.0,5.709047,5.75664,0.047593,0.046815,0.046815,0.141223,481024.0,32437.23996,mps,"{""activation_name"": ""silu""}","silu 활성함수 단일축 비교: quick_gelu는 seed=151에서 best를 만들었지만 seed=134에서는 overfit_risk로 돌아갔다. 같은 seed=151, tie_embeddings=True 기준선에서 activation_name만 silu로 바꾸면 부드러운 gate-like 비선형성이 validation 성능과 overfit_score를 quick_gelu 수준으로 유지하거나 더 안정화할 수 있다.",docs/train/runs/run_010_artifacts
11,generalizing,medium,False,5.813203,2.666667,15.0,40.0,5.707884,5.754852,0.046968,0.046251,0.046251,0.13947,481024.0,27807.857738,mps,"{""activation_name"": ""gelu_exact""}","gelu_exact 활성함수 단일축 비교: run 008의 quick_gelu가 현재 best이고 run 010의 silu는 generalizing이지만 validation loss와 overfit_score가 약간 나빴다. 같은 seed=151, tie_embeddings=True 기준선에서 activation_name만 gelu_exact로 바꾸면 GELU 계열 내부에서 근사 quick_gelu의 이득이 계산 근사/속도 효과인지, exact GELU에서도 유지되는 안정성인지 분리해 확인할 수 있다.",docs/train/runs/run_011_artifacts
12,overfit_risk,high,False,6.34093,2.666667,15.0,40.0,5.720724,5.769758,0.049034,0.068793,0.068793,0.18662,481024.0,29992.273971,mps,"{""seed"": 202}","quick_gelu seed variance 검증: run 008은 seed=151에서 현재 best였고 gelu_exact(run 011)는 거의 같은 수준이지만 미세하게 뒤졌다. quick_gelu의 우세가 특정 seed의 우연인지 확인하기 위해, 구조와 학습 조건은 run 008과 동일하게 유지하고 seed만 202로 바꿔 validation loss, gap, overfit_score의 흔들림을 측정한다.",docs/train/runs/run_012_artifacts
13,overfit_risk,high,False,6.345007,2.666667,15.0,40.0,5.725238,5.774078,0.04884,0.068598,0.068598,0.186037,481024.0,26517.174081,mps,"{""drop_rate"": 0.15}",drop_rate 정규화 단일축 테스트: quick_gelu seed=202 반복(run 012)은 final_val_loss가 악화되고 overfit_score가 0.1866까지 상승해 seed 민감성과 과적합 위험을 드러냈다. 같은 seed=202와 quick_gelu 설정을 유지하고 drop_rate만 0.10에서 0.15로 올리면 train 쪽 과도한 개선을 누그러뜨려 overfit_score와 train_val_improvement_gap을 낮출 수 있다.,docs/train/runs/run_013_artifacts
14,overfit_risk,high,False,6.520321,2.666667,15.0,40.0,5.913575,5.956627,0.043052,0.062811,0.062811,0.168673,481024.0,34268.861288,mps,"{""learning_rate"": 0.0002}","learning_rate 하향 최적화 단일축 테스트: quick_gelu seed=202 계열은 run 012와 run 013에서 모두 overfit_risk였고, drop_rate=0.15는 validation loss를 더 악화시켰다. dropout을 기준값 0.10으로 되돌리고 learning_rate만 0.0003에서 0.0002로 낮추면 train loss가 너무 빠르게 내려가며 validation 개선을 앞지르는 현상을 줄여 overfit_score와 train_val_improvement_gap을 낮출 수 있다.",docs/train/runs/run_014_artifacts
15,overfit_risk,high,False,6.488145,2.0,15.0,30.0,5.859578,5.912328,0.05275,0.072509,0.072509,0.197767,481024.0,29732.700026,mps,"{""effective_max_steps"": ""30"", ""epochs"": ""2.0""}","max_steps 조기 중단 단일축 테스트: seed=202 quick_gelu 계열은 learning_rate를 낮추면 validation loss가 크게 악화되고, dropout을 올려도 overfit_score가 거의 줄지 않았다. learning_rate를 0.0003으로 되돌리고 max_steps만 40에서 30으로 줄이면 train 쪽 과도한 개선이 누적되기 전에 멈춰 train_val_improvement_gap과 overfit_score를 낮추면서 run 012보다 validation 손실을 덜 악화시킬 수 있다.",docs/train/runs/run_015_artifacts
16,generalizing,medium,False,5.811529,2.666667,15.0,40.0,5.707981,5.754159,0.046179,0.045471,0.045471,0.13712,481024.0,30836.516588,mps,"{""ffn_dropout_position"": ""after_activation""}","FFN dropout 위치 교체 단일축 테스트: run 008 quick_gelu seed=151이 현재 best지만 overfit_score는 0.139379로 아직 완전히 낮지는 않다. 같은 best 설정에서 ffn_dropout_position만 after_output에서 after_activation으로 바꾸면 FFN hidden activation에 직접 dropout이 걸려 train 쪽 과개선을 조금 줄이고, 구조를 바꾸지 않으면서 final_val_loss와 overfit_score의 균형을 개선할 수 있다.",docs/train/runs/run_016_artifacts
17,overfit_risk,high,False,6.315361,2.666667,15.0,40.0,5.719406,5.754858,0.035452,0.067829,0.067829,0.171111,481024.0,29735.994007,mps,"{""seed"": 134}","after_activation dropout 위치 효과 seed=134 재현성 검증: run 016은 seed=151에서 ffn_dropout_position=after_activation이 새 best를 만들었다. 같은 설정을 seed=134로 반복하면, 기존 seed=134 quick_gelu 기준선(run 009)의 overfit_risk가 dropout 위치 변경으로 완화되는지 확인할 수 있다.",docs/train/runs/run_017_artifacts
18,generalizing,medium,False,5.81009,2.666667,15.0,40.0,5.706411,5.752648,0.046237,0.045529,0.045529,0.137295,481024.0,31824.204022,mps,"{""ffn_dropout_position"": ""none""}","FFN dropout 자체 기여도 ablation: run 016은 quick_gelu + tie_embeddings=True + seed=151에서 ffn_dropout_position=after_activation이 현재 best를 만들었지만, run 017에서는 seed=134 재현성이 충분하지 않았다. 같은 best seed=151 설정에서 ffn_dropout_position만 none으로 바꾸면 dropout regularization 자체가 validation 성능과 overfit_score에 실제로 기여하는지 분리해서 확인할 수 있다.",docs/train/runs/run_018_artifacts
19,overfit_risk,high,False,6.314438,2.666667,15.0,40.0,5.718901,5.754167,0.035266,0.067644,0.067644,0.170554,481024.0,32477.463843,mps,"{""seed"": 134}","ffn_dropout_position=none seed 강건성 검증: run 018은 seed=151에서 dropout 제거가 새 best를 만들었다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none 설정을 seed=134로 반복하면, dropout 제거의 이득이 seed=151에만 국한된 우연인지 아니면 seed=134의 기존 overfit_risk까지 완화하는지 확인할 수 있다.",docs/train/runs/run_019_artifacts
20,overfit_risk,high,False,6.317291,1.37931,29.0,40.0,5.717698,5.75543,0.037732,0.067125,0.067125,0.171982,481024.0,38171.137181,mps,"{""stride"": 32}","학습 윈도우 stride 단일축 테스트: seed=134 계열은 dropout 위치와 제거를 바꿔도 overfit_score가 0.17대에 머물렀다. best 계열의 quick_gelu + tie_embeddings=True + ffn_dropout_position=none 설정을 유지하고 train stride만 64 상당의 기본값에서 32로 줄이면, 겹치는 학습 윈도우가 늘어나 같은 구조에서 더 많은 문맥 시작점을 보게 되어 validation loss와 train_val_improvement_gap의 균형이 개선될 수 있다.",docs/train/runs/run_020_artifacts
21,generalizing,low,False,5.724607,2.0,20.0,40.0,5.728559,5.724607,-0.003952,-0.00105,-0.00105,0.0,478976.0,14695.420622,mps,"{""context_length"": 48}","context_length 축소 단일축 테스트: seed=134 계열은 dropout 위치, dropout 제거, stride overlap을 바꿔도 overfit_risk가 유지되었다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none 설정에서 context_length만 64에서 48로 줄이면, 위치 임베딩 부담과 한 샘플당 문맥 암기 범위가 작아지고 학습/검증 윈도우 수가 늘어 seed=134의 train_val_improvement_gap과 overfit_score가 완화될 수 있다.",docs/train/runs/run_021_artifacts
22,generalizing,low,False,5.744258,2.0,20.0,40.0,5.733633,5.738766,0.005133,0.003284,0.003284,0.011702,478976.0,21195.674132,mps,"{""seed"": 151}","context_length=48 seed 재현성 검증: run 021은 seed=134에서 context_length를 64에서 48로 줄이자 final_val_loss와 overfit_score가 크게 개선되어 새 best가 되었다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none + context_length=48 설정을 seed=151로 반복하면, 이 개선이 seed=134의 우연인지 아니면 현재 데이터 규모에서 더 짧은 문맥이 일반적으로 유리한지 확인할 수 있다.",docs/train/runs/run_022_artifacts
23,generalizing,medium,False,5.802541,2.0,20.0,40.0,5.712401,5.750331,0.03793,0.047527,0.047527,0.132983,478976.0,25124.180437,mps,"{""seed"": 202}","context_length=48 어려운 seed 강건성 검증: seed=202는 context_length=64 계열에서 overfit_risk와 validation 악화를 반복했다. 같은 quick_gelu + tie_embeddings=True + ffn_dropout_position=none + context_length=48 설정을 seed=202로 실행하면, 짧은 문맥이 seed=134/151뿐 아니라 어려운 seed에서도 train_val_improvement_gap과 overfit_score를 안정화하는지 확인할 수 있다.",docs/train/runs/run_023_artifacts
24,generalizing,low,False,5.724607,2.0,20.0,40.0,5.728559,5.724607,-0.003952,-0.00105,-0.00105,0.0,478976.0,16421.287693,mps,"{""attention_impl"": ""sdpa""}","attention_impl=sdpa 구현 교체 단일축 테스트: context_length=48은 seed=134/151/202에서 모두 기존 64보다 좋은 일반화 신호를 만들었다. 이 설정을 고정하고 attention_impl만 manual에서 sdpa로 바꾸면, Transformer 구조 의미를 유지하면서 MPS에서 처리량을 개선하거나 최소한 같은 validation/overfit 품질을 유지할 수 있는지 확인할 수 있다.",docs/train/runs/run_024_artifacts
